Year Sold,Lot Area,Year Built,Zip Code,Quality
2010,31770,1960,15,6
2010,11622,1961,15,5
2010,14267,1958,15,6
2010,11160,1968,15,7
2010,13830,1997,8,5
2010,9978,1998,8,6
2010,4920,2001,25,8
2010,5005,1992,25,8
2010,5389,1995,25,8
2010,7500,1999,8,7
2010,10000,1993,8,6
2010,7980,1992,8,6
2010,8402,1998,8,6
2010,10176,1990,8,7
2010,6820,1985,25,8
2010,53504,2003,25,8
2010,12134,1988,8,8
2010,11394,2010,25,9
2010,19138,1951,8,4
2010,13175,1978,17,6
2010,11751,1977,17,6
2010,10625,1974,17,7
2010,7500,2000,24,7
2010,11241,1970,15,6
2010,12537,1971,15,5
2010,8450,1968,15,5
2010,8400,1970,15,4
2010,10500,1971,15,4
2010,5858,1999,15,7
2010,1680,1971,2,6
2010,1680,1971,2,5
2010,1680,1971,2,6
2010,4043,1977,16,6
2010,2280,1975,16,6
2010,2280,1975,16,7
2010,2280,1978,16,6
2010,12858,2009,19,9
2010,11478,2007,19,8
2010,10159,2009,19,9
2010,12883,2009,19,8
2010,12182,2005,19,7
2010,11520,2005,19,9
2010,14122,2005,19,8
2010,10171,2004,19,7
2010,12919,2009,19,9
2010,6371,2009,19,7
2010,14300,2003,19,9
2010,13650,2002,19,8
2010,7658,2005,19,9
2010,7132,2006,19,8
2010,2628,2003,19,7
2010,18494,2005,8,6
2010,3203,2006,0,7
2010,3182,2004,0,8
2010,13300,2004,8,7
2010,7851,2002,8,6
2010,8577,2004,8,7
2010,7750,2000,8,7
2010,9505,2001,8,7
2010,14774,1999,18,9
2010,17433,1998,18,8
2010,10593,1996,18,7
2010,12256,1994,18,8
2010,11764,1999,18,8
2010,16770,1998,18,7
2010,14720,1995,18,8
2010,8987,2005,24,8
2010,9215,2009,24,7
2010,8640,2009,24,7
2010,9000,2008,24,8
2010,12552,2004,24,7
2010,10440,2005,24,6
2010,10142,2004,23,7
2010,11920,2004,23,7
2010,8880,1994,23,7
2010,8012,1980,23,6
2010,11218,1992,23,6
2010,7892,1979,23,6
2010,7175,1984,23,6
2010,9453,1993,23,7
2010,9672,1984,23,6
2010,8400,1980,23,6
2010,9800,1920,23,5
2010,8930,1978,22,6
2010,11782,1961,22,5
2010,8450,1965,22,5
2010,9819,1967,22,5
2010,7500,1963,22,5
2010,6897,1962,22,5
2010,15410,1974,22,6
2010,10186,1992,18,7
2010,13143,1993,18,8
2010,11134,1992,18,8
2010,4835,2004,24,7
2010,3515,2004,24,7
2010,3215,2004,24,7
2010,3182,2004,24,7
2010,2544,2004,24,7
2010,2544,2005,24,6
2010,4403,2009,24,7
2010,2117,2000,24,6
2010,2980,2000,24,6
2010,2572,1999,24,7
2010,2403,2003,24,7
2010,12853,2010,24,8
2010,7379,2000,24,8
2010,4420,1980,9,8
2010,3880,1978,9,8
2010,13517,1976,22,6
2010,8000,2002,24,7
2010,10456,1967,17,6
2010,10791,1993,17,6
2010,10603,1977,17,6
2010,18837,1978,17,6
2010,10421,1988,17,7
2010,9360,1972,17,6
2010,9600,1971,17,6
2010,9600,1966,15,5
2010,9790,1963,17,6
2010,9320,1959,15,4
2010,9900,1966,15,5
2010,9680,1967,15,5
2010,10600,1964,15,6
2010,14112,1964,15,5
2010,8800,1963,15,6
2010,13260,1962,15,5
2010,9717,1950,15,5
2010,9724,1952,15,5
2010,17360,1949,15,6
2010,7207,1958,3,5
2010,5350,1940,3,3
2010,9920,1954,15,5
2010,9600,1955,15,6
2010,7800,1954,15,5
2010,11380,1966,15,6
2010,11600,1960,15,5
2010,19900,1970,15,7
2010,16492,1966,15,6
2010,8267,1958,15,5
2010,8197,2003,15,7
2010,8050,1959,15,5
2010,10552,1959,15,5
2010,8400,1957,15,5
2010,8760,1959,15,6
2010,12160,1959,15,5
2010,9300,1960,15,5
2010,10725,1959,15,5
2010,10032,1959,15,6
2010,8382,1956,15,4
2010,10950,1952,15,5
2010,10895,1955,15,5
2010,13587,1958,15,5
2010,7922,1953,15,5
2010,7898,1920,15,4
2010,7200,1955,15,5
2010,10200,1954,15,5
2010,5868,1956,15,5
2010,17503,1948,15,6
2010,6979,1980,20,6
2010,9830,1959,15,5
2010,11275,1967,15,7
2010,8064,1948,15,6
2010,7500,1959,15,5
2010,8520,1952,15,5
2010,7200,1951,15,5
2010,10000,1962,15,6
2010,7635,1960,15,5
2010,9760,1963,15,6
2010,7700,1966,15,6
2010,4800,1900,20,4
2010,8800,1910,20,4
2010,4485,1920,20,5
2010,8960,1927,20,5
2010,5805,1957,20,5
2010,5790,1915,20,3
2010,4608,1945,20,4
2010,7200,1940,20,5
2010,5500,1929,20,5
2010,6900,1938,20,6
2010,11851,1948,20,5
2010,8239,1920,20,5
2010,9656,1923,20,2
2010,8520,1928,20,6
2010,9600,1900,20,8
2010,10800,1915,20,5
2010,9000,1890,20,8
2010,9045,1910,20,5
2010,7407,1957,20,6
2010,7740,1910,20,4
2010,11340,1885,20,4
2010,10560,1922,20,6
2010,5830,1950,3,5
2010,7793,1922,3,7
2010,5000,1925,3,4
2010,6000,1939,3,6
2010,6000,1940,3,6
2010,6360,1942,3,5
2010,6000,1948,3,6
2010,6240,1936,3,5
2010,6240,1930,3,5
2010,6120,1923,20,6
2010,10300,1921,20,7
2010,8094,1915,20,4
2010,12900,1912,20,6
2010,3068,1920,20,6
2010,8472,1963,11,5
2010,5600,1930,11,4
2010,7630,1900,20,5
2010,24090,1940,4,7
2010,15263,1959,4,5
2010,10632,1917,4,5
2010,9900,1915,21,5
2010,6001,1940,21,6
2010,6449,1907,21,4
2010,6048,1910,21,5
2010,6342,1875,22,5
2010,10773,1967,22,4
2010,10778,1968,22,4
2010,11625,1965,22,5
2010,11341,1957,22,5
2010,8521,1967,22,5
2010,8246,1968,22,5
2010,7800,1966,22,5
2010,9364,1969,22,6
2010,7832,1968,22,5
2010,7424,1978,22,5
2010,11227,1968,22,5
2010,11616,1978,22,6
2010,14000,1996,4,7
2010,20062,1977,4,7
2010,9259,1927,22,4
2010,9600,1950,22,4
2010,23595,1979,4,7
2010,17082,1978,4,6
2010,18600,1938,7,3
2010,10625,1920,7,5
2010,11479,1950,7,6
2010,9571,1956,7,5
2010,9350,1947,7,4
2010,9525,1954,7,5
2010,10420,2009,7,6
2010,17485,2009,7,7
2010,11200,1964,7,5
2010,11100,1946,7,4
2010,9206,1985,23,6
2010,11980,1987,23,7
2010,12361,1993,23,6
2010,9938,1993,23,7
2010,9069,1992,23,6
2010,10475,2008,5,8
2010,6762,2006,5,7
2010,10402,2009,5,7
2010,7360,2010,5,7
2010,12376,1990,23,7
2010,14235,1900,23,6
2010,8816,1971,4,6
2010,11105,1996,5,5
2010,9337,1997,5,7
2010,8750,1998,5,6
2010,15240,1977,5,5
2010,10900,1977,5,6
2010,10650,1976,5,5
2010,7480,1972,5,5
2010,10389,2003,5,8
2010,11423,2001,5,8
2010,9548,2003,5,7
2010,9375,1997,5,7
2010,12137,1998,5,7
2010,4435,2003,5,6
2010,4426,2004,5,6
2010,10635,2003,5,8
2010,8400,2004,5,7
2010,8773,2004,5,7
2010,8777,1945,7,3
2010,8842,1954,7,5
2010,9825,1965,7,5
2010,10044,1968,7,5
2010,11792,1948,7,4
2010,6305,1975,7,6
2010,7819,1976,7,6
2010,6410,1958,7,4
2010,8546,2003,7,4
2010,8741,1945,7,6
2010,12180,1941,7,4
2010,8562,1957,7,5
2010,4853,1924,21,5
2010,6858,1915,21,6
2010,8212,1914,7,3
2010,5000,1924,21,5
2010,7890,1939,21,6
2010,7200,1967,21,4
2010,9839,1931,21,5
2010,9638,1919,21,6
2010,10452,1941,6,7
2010,15600,1950,6,5
2010,9042,1941,6,7
2010,17500,1959,6,7
2010,19645,1994,6,7
2010,3907,1989,1,8
2010,3907,1989,1,8
2010,15602,1959,6,7
2010,5436,1922,11,4
2010,8154,1941,11,2
2010,9140,1921,11,6
2010,7500,1920,11,4
2010,8712,1900,11,4
2010,8712,1952,11,5
2010,8712,1896,11,4
2010,3811,2004,6,8
2010,11050,1998,14,8
2010,9620,1977,14,6
2010,9196,2003,14,7
2010,12328,1976,14,6
2010,12760,1976,14,6
2010,57200,1948,26,5
2010,11896,2008,26,7
2010,9803,2009,26,7
2010,9802,2006,26,5
2010,12003,2009,26,8
2010,11316,2002,26,7
2010,14191,2002,26,8
2010,13214,2008,26,9
2010,15300,1965,14,5
2010,10114,2004,14,5
2010,9400,1971,14,6
2010,11875,1999,14,5
2010,1974,1973,13,4
2010,2394,1973,13,5
2010,2592,1976,13,5
2010,1476,1970,13,4
2010,1491,1972,13,4
2010,1900,1970,13,4
2010,1890,1972,13,4
2010,6953,1971,14,5
2010,26142,1962,14,5
2010,12887,1984,14,5
2010,7700,1985,14,5
2010,10475,1991,14,5
2010,10544,1969,14,5
2010,9892,1994,14,8
2010,12961,1993,14,6
2009,13008,1956,15,6
2009,10200,1974,15,6
2009,13860,1972,15,8
2009,10179,1997,8,6
2009,11792,2003,8,8
2009,8400,1996,8,7
2009,14892,2006,8,9
2009,8530,1995,8,7
2009,7296,2004,25,8
2009,5664,2000,25,8
2009,7380,1998,25,8
2009,8013,1995,25,8
2009,8923,1998,8,7
2009,10141,1998,8,7
2009,7500,1998,8,6
2009,7837,1993,8,6
2009,9765,1993,8,6
2009,8803,1994,8,6
2009,7250,1993,8,6
2009,9636,1992,8,6
2009,8125,1994,8,6
2009,9248,1992,8,6
2009,10762,1999,8,7
2009,11851,1990,8,7
2009,5814,1984,25,8
2009,17423,2008,25,9
2009,11844,2008,25,8
2009,16158,2005,25,7
2009,11900,1977,8,5
2009,13005,1980,17,7
2009,17043,1979,17,6
2009,11900,1977,17,7
2009,16635,1977,17,6
2009,13250,1978,17,7
2009,10928,1978,17,6
2009,12388,1980,17,7
2009,14115,1980,17,7
2009,11088,1978,17,6
2009,9600,1981,17,8
2009,11880,1978,17,7
2009,10400,1976,17,7
2009,10304,1976,17,5
2009,7000,2003,24,7
2009,8004,2009,24,8
2009,7500,2000,24,8
2009,8470,2002,24,8
2009,9373,1975,17,5
2009,10140,1974,17,6
2009,11050,1975,17,7
2009,10140,1974,17,6
2009,10448,1972,17,6
2009,9000,1974,15,5
2009,8750,1970,15,5
2009,7930,1969,15,6
2009,7830,1970,15,5
2009,8510,1971,15,5
2009,7038,1970,15,4
2009,6960,1970,15,4
2009,8120,1970,15,4
2009,10500,1971,15,4
2009,9000,1971,15,4
2009,1680,1973,2,6
2009,2368,1970,2,5
2009,1680,1971,2,5
2009,1680,1972,2,6
2009,1680,1972,2,6
2009,1680,1972,2,5
2009,4928,1976,16,6
2009,2308,1976,16,6
2009,2280,1976,16,6
2009,2280,1975,16,7
2009,2308,1974,16,6
2009,2349,1977,16,6
2009,2364,1978,16,6
2009,2289,1978,16,6
2009,2364,1978,16,6
2009,2104,1976,16,7
2009,7150,1967,15,5
2009,10710,1966,15,5
2009,12456,2006,19,10
2009,14257,2007,19,9
2009,13518,2008,19,9
2009,15431,2008,19,10
2009,13173,2006,19,9
2009,14230,2007,19,8
2009,12704,2008,19,8
2009,12350,2009,19,9
2009,11308,2008,19,9
2009,12350,2008,19,9
2009,12220,2009,19,10
2009,13478,2008,19,10
2009,13693,2007,19,10
2009,13891,2008,19,9
2009,11578,2008,19,9
2009,16870,2004,19,8
2009,23303,2007,19,8
2009,11146,2006,19,8
2009,10367,2008,19,9
2009,9591,2004,19,8
2009,10872,2006,19,9
2009,13514,2008,19,9
2009,8834,2004,19,9
2009,11362,2004,19,8
2009,10655,2003,19,8
2009,12878,2003,19,7
2009,9541,2009,19,7
2009,13472,2003,19,10
2009,15274,2003,19,9
2009,13262,2003,19,8
2009,9658,2006,19,8
2009,6904,2005,19,6
2009,5381,2005,19,6
2009,5122,2005,19,6
2009,10307,2007,19,7
2009,5001,2007,19,7
2009,14836,2004,19,10
2009,15262,2003,19,8
2009,7390,2008,19,9
2009,6472,2008,19,9
2009,16770,2002,19,8
2009,6240,2006,19,8
2009,3480,2003,19,7
2009,2268,2003,19,7
2009,10928,2005,8,7
2009,8918,2005,8,6
2009,12589,2005,8,6
2009,11911,2005,8,6
2009,3684,2007,0,7
2009,3635,2007,0,7
2009,3182,2005,0,7
2009,3182,2005,0,7
2009,3182,2005,0,7
2009,3182,2005,0,7
2009,7795,2004,8,7
2009,8068,2002,8,6
2009,9434,2004,8,7
2009,7984,2004,8,7
2009,7750,2002,8,8
2009,10125,2004,8,7
2009,8965,2003,8,7
2009,8174,2003,8,7
2009,5063,2007,19,7
2009,8795,2000,8,7
2009,12891,2002,8,8
2009,12224,2000,8,6
2009,9734,2004,8,7
2009,8123,2000,8,6
2009,8433,2000,8,6
2009,7750,1999,8,7
2009,15896,1999,8,7
2009,24682,1999,8,6
2009,8755,1999,8,7
2009,7848,1999,8,7
2009,9430,1999,18,8
2009,15138,1995,18,8
2009,12720,2000,18,8
2009,16545,1998,18,8
2009,12203,1998,18,8
2009,10208,1996,18,7
2009,10750,1994,18,8
2009,9900,1993,18,7
2009,9085,1995,18,7
2009,11692,1993,18,8
2009,46589,1994,18,8
2009,29959,1994,18,7
2009,9612,2008,24,8
2009,11194,2008,24,8
2009,10206,2008,24,8
2009,9262,2008,24,8
2009,10130,2007,24,8
2009,9139,2006,24,8
2009,9675,2005,24,7
2009,11128,2005,24,9
2009,8640,2009,24,7
2009,9000,2008,24,8
2009,7862,2009,24,6
2009,7993,2008,24,7
2009,8640,2009,24,8
2009,8640,2008,24,7
2009,12606,2007,24,9
2009,9187,2009,24,9
2009,7500,2006,24,8
2009,11003,2008,24,10
2009,10603,2006,24,8
2009,10574,2005,24,8
2009,8125,2006,24,7
2009,8125,2008,24,8
2009,10625,2006,24,7
2009,9375,2003,24,7
2009,7500,2004,24,7
2009,8736,2003,24,7
2009,8127,2003,24,7
2009,9605,2007,23,7
2009,7500,2006,23,7
2009,7500,2004,23,6
2009,10628,2004,23,7
2009,10141,2004,23,8
2009,10083,2003,23,7
2009,13072,2004,23,7
2009,13072,2004,23,5
2009,12450,2003,23,5
2009,7328,2008,23,7
2009,11492,1996,23,7
2009,10994,2005,23,8
2009,8529,2001,23,7
2009,7703,1992,23,6
2009,10762,1980,23,6
2009,7175,1990,23,6
2009,9109,1994,23,7
2009,10274,1986,23,6
2009,8250,1981,23,6
2009,8400,1950,23,4
2009,9000,1928,23,6
2009,9750,1962,22,5
2009,7064,1977,22,5
2009,8499,1961,22,5
2009,9079,1961,22,5
2009,9316,1965,22,5
2009,7791,1963,22,5
2009,10000,1961,22,5
2009,8281,1965,22,5
2009,7150,1962,22,5
2009,15676,1980,27,8
2009,11949,1991,18,7
2009,2880,2004,24,7
2009,3951,2009,24,6
2009,3000,2009,24,6
2009,3830,2008,24,6
2009,4217,2008,24,6
2009,3230,1999,24,6
2009,2998,2000,24,6
2009,3768,1999,24,7
2009,2645,1999,24,8
2009,14694,1977,27,8
2009,3782,1981,9,8
2009,15417,1981,27,7
2009,9600,1976,27,8
2009,9991,1976,22,4
2009,11700,1968,17,6
2009,11717,1970,17,6
2009,9156,1968,17,6
2009,10382,1973,17,7
2009,12732,1974,17,7
2009,12936,1972,17,6
2009,10400,1967,17,6
2009,17871,1967,17,6
2009,9600,1969,17,5
2009,9000,1969,17,6
2009,13774,1977,17,7
2009,9650,1977,17,6
2009,10140,1998,17,7
2009,8400,2001,17,8
2009,7130,1967,15,5
2009,9600,1967,15,5
2009,9100,1965,15,5
2009,9600,1974,17,7
2009,16500,1971,17,6
2009,9790,1967,17,6
2009,7436,1960,15,4
2009,8125,1959,15,5
2009,9100,1959,15,6
2009,9450,1957,15,4
2009,13495,1956,15,5
2009,11475,1958,15,5
2009,10004,1964,15,6
2009,9350,1961,15,5
2009,10500,1964,15,5
2009,11000,1966,15,5
2009,8970,1965,15,5
2009,12095,1964,15,6
2009,9600,1959,15,5
2009,11475,1961,15,6
2009,9768,1955,15,5
2009,5330,1940,3,4
2009,7015,1950,3,5
2009,12160,1953,15,6
2009,9900,1967,15,6
2009,9600,1953,15,6
2009,9600,1956,15,5
2009,9600,1950,15,6
2009,9600,1950,15,5
2009,8944,1967,15,5
2009,10573,1961,15,6
2009,9500,1963,15,6
2009,14695,1966,15,6
2009,13600,1965,15,7
2009,13000,1968,15,6
2009,13560,1968,15,6
2009,12513,1920,15,4
2009,8760,1956,15,5
2009,8400,1957,15,6
2009,12285,1960,15,7
2009,9240,1959,15,6
2009,9600,1958,15,6
2009,12400,1958,15,6
2009,8750,1956,15,5
2009,8750,1955,15,5
2009,10400,1956,15,4
2009,19296,1962,15,6
2009,8532,1954,15,5
2009,9482,1958,15,5
2009,8128,1954,15,6
2009,10634,1953,15,5
2009,13070,1951,15,5
2009,10434,1955,15,4
2009,14559,1951,15,5
2009,8480,1945,15,5
2009,7626,1952,15,5
2009,9533,1953,15,5
2009,10615,1900,20,3
2009,11419,1948,15,7
2009,9600,1950,15,5
2009,8000,1948,15,6
2009,5470,1958,20,3
2009,10410,1916,20,5
2009,10800,1939,20,5
2009,8146,1900,20,4
2009,9022,1924,20,5
2009,10230,1925,20,5
2009,10410,1915,20,4
2009,7200,1910,20,7
2009,5400,1940,20,2
2009,5400,1920,20,4
2009,10800,1920,20,5
2009,10800,1890,20,3
2009,9671,1969,15,6
2009,10143,1963,15,6
2009,11500,1967,15,6
2009,11643,1969,15,5
2009,8010,1958,15,6
2009,10454,1957,15,6
2009,8712,1957,15,5
2009,17600,1960,15,6
2009,9000,1958,15,6
2009,12144,1949,15,5
2009,8544,1950,15,3
2009,8064,1950,15,6
2009,7200,1949,15,4
2009,7200,1950,15,5
2009,7350,1958,15,5
2009,7560,1958,15,5
2009,7200,1952,15,5
2009,8000,1959,15,5
2009,7931,1959,15,5
2009,10800,1949,15,4
2009,8064,1948,15,6
2009,7570,1964,15,6
2009,8604,1978,15,5
2009,7936,1963,15,6
2009,6600,1962,15,5
2009,3950,1926,20,6
2009,10440,1910,20,5
2009,4080,1935,20,6
2009,10307,1910,20,6
2009,5720,1941,20,5
2009,15660,1910,20,5
2009,9900,1910,20,5
2009,6406,1939,20,5
2009,6600,1892,20,5
2009,7627,1920,20,4
2009,7596,1952,20,5
2009,3378,1946,20,7
2009,10134,1910,20,5
2009,6000,1953,20,4
2009,6000,1950,20,5
2009,6000,1954,20,5
2009,7404,1920,20,4
2009,5925,1940,20,2
2009,5925,1910,20,3
2009,5784,1938,20,5
2009,8520,1923,20,5
2009,4456,1920,20,4
2009,9600,1910,20,4
2009,3500,1947,20,5
2009,8100,1898,20,5
2009,11700,1880,20,7
2009,8400,1900,20,6
2009,3600,1917,20,6
2009,17671,1882,20,8
2009,3300,1910,20,4
2009,9000,1920,20,7
2009,7200,1910,20,5
2009,8820,1890,20,5
2009,5400,1920,20,6
2009,9720,1910,20,6
2009,7879,1920,11,4
2009,9392,1900,11,3
2009,21384,1923,3,5
2009,6615,1923,3,6
2009,7264,1925,3,7
2009,4960,1930,3,5
2009,8854,1916,3,6
2009,6000,1936,3,4
2009,6000,1937,3,6
2009,6000,1925,3,5
2009,6000,1939,3,6
2009,6000,1924,3,5
2009,6000,1926,3,6
2009,6911,1924,3,5
2009,6120,1936,3,5
2009,6120,1935,3,4
2009,6120,1936,3,2
2009,6120,1931,3,5
2009,6120,1925,3,5
2009,6120,1938,3,5
2009,8635,1925,3,5
2009,11888,1916,3,6
2009,11414,1910,3,7
2009,8094,1915,20,6
2009,2500,1915,20,7
2009,9928,1915,20,7
2009,5520,1912,20,6
2009,3000,1922,20,5
2009,6876,1927,11,6
2009,6240,1925,11,4
2009,5775,1915,20,6
2009,5852,1902,20,7
2009,5160,1927,11,6
2009,5160,1923,11,4
2009,10320,1915,11,6
2009,4280,1946,22,4
2009,10800,1987,7,5
2009,10800,1987,7,5
2009,10547,1978,7,5
2009,10020,1922,7,1
2009,6629,1925,7,6
2009,9780,1934,7,5
2009,12886,1963,22,5
2009,8816,1963,22,5
2009,11184,1978,22,6
2009,11625,1967,22,5
2009,7800,1967,22,5
2009,8014,1978,22,6
2009,7252,1982,22,5
2009,8740,1982,22,5
2009,11616,1962,22,5
2009,15400,1961,22,5
2009,15312,1960,22,6
2009,15584,1956,4,5
2009,9000,1947,22,2
2009,11250,1957,4,4
2009,25095,1968,4,5
2009,17140,1956,7,4
2009,12342,1940,7,4
2009,10708,1955,4,5
2009,13680,1955,7,3
2009,15635,1954,7,4
2009,9855,1956,7,6
2009,9571,1956,7,5
2009,9571,1958,7,5
2009,9350,1946,7,6
2009,9340,1941,7,4
2009,7440,1954,7,5
2009,11500,1957,7,4
2009,4235,1984,7,5
2009,11409,1949,7,5
2009,9060,1939,7,6
2009,9084,1940,7,4
2009,10778,1990,23,7
2009,19255,1983,23,6
2009,12327,1983,23,8
2009,14684,1990,23,7
2009,9317,1993,23,7
2009,10560,1993,23,7
2009,9828,1995,23,8
2009,26400,1880,23,5
2009,7018,1979,23,5
2009,7018,1979,23,5
2009,7018,1979,23,5
2009,7018,1979,23,5
2009,7018,1979,23,5
2009,7018,1979,23,5
2009,7040,1979,23,5
2009,7007,1979,23,5
2009,11855,2000,23,7
2009,7939,2000,23,7
2009,7976,2000,23,7
2009,10933,2009,5,9
2009,10637,2007,5,8
2009,10226,2008,5,8
2009,10816,2008,5,9
2009,9178,2008,5,8
2009,10769,2007,5,8
2009,11422,2007,5,8
2009,11923,2007,5,9
2009,8814,2006,5,7
2009,6762,2007,5,7
2009,10324,2008,5,8
2009,7314,2007,5,7
2009,11645,2005,5,8
2009,11646,2005,5,6
2009,12800,1989,23,7
2009,16698,1992,4,7
2009,28698,1967,4,5
2009,12464,1996,5,5
2009,9757,1994,5,5
2009,15426,1997,5,6
2009,10667,1996,5,7
2009,14753,1998,5,7
2009,10859,1994,5,5
2009,8072,1994,5,5
2009,10400,1998,5,7
2009,10335,1999,5,7
2009,9017,1999,5,7
2009,8750,1998,5,6
2009,8935,2002,5,7
2009,9808,2002,5,7
2009,12420,2001,5,7
2009,16285,2001,5,7
2009,10739,2002,5,7
2009,11166,2001,5,7
2009,8430,1978,5,5
2009,16269,1978,5,5
2009,6950,1979,5,5
2009,8800,1977,5,5
2009,7000,1978,5,5
2009,9286,1977,5,5
2009,15523,1972,5,5
2009,7200,1972,5,5
2009,7200,1972,5,5
2009,8445,1972,5,5
2009,11664,2002,5,7
2009,12334,2003,5,8
2009,11838,2001,5,8
2009,11885,2001,5,8
2009,11050,2000,5,9
2009,8749,2002,5,7
2009,11250,2001,5,7
2009,15750,1999,5,8
2009,11883,1996,5,7
2009,12782,2002,5,8
2009,8750,1997,5,7
2009,9375,1997,5,7
2009,8750,1996,5,7
2009,9100,2001,5,7
2009,9750,2000,5,7
2009,4435,2003,5,6
2009,4435,2003,5,6
2009,10200,2007,5,8
2009,9313,2004,5,7
2009,8487,2004,5,7
2009,8633,2005,5,6
2009,11069,2007,5,6
2009,8777,1949,7,4
2009,9937,1964,7,5
2009,8877,1938,7,4
2009,7301,2003,7,7
2009,7950,1977,7,6
2009,10682,1960,7,4
2009,7200,1976,7,6
2009,13286,2007,7,9
2009,3675,2005,7,6
2009,9405,1947,7,5
2009,6410,1959,7,4
2009,11767,1950,7,5
2009,8405,1945,7,4
2009,4060,1922,7,5
2009,10206,1952,7,3
2009,10926,1959,7,5
2009,11767,1956,7,5
2009,8926,1956,7,4
2009,12354,1920,7,6
2009,8212,1941,7,5
2009,10998,1941,7,5
2009,6300,1938,21,5
2009,4500,1932,21,5
2009,8400,1920,21,2
2009,9900,1940,21,6
2009,15863,1920,21,7
2009,5707,1935,21,6
2009,7804,1928,21,4
2009,8574,1916,6,6
2009,6171,1925,21,6
2009,7200,1936,21,7
2009,7558,1928,6,6
2009,6292,1928,21,7
2009,7155,1918,6,7
2009,10918,1926,6,7
2009,13680,1940,6,5
2009,7500,1942,6,6
2009,9600,1940,6,5
2009,14680,1960,6,5
2009,13360,1921,6,5
2009,7681,1921,6,5
2009,8145,1940,6,7
2009,9100,1954,6,5
2009,12000,1941,6,7
2009,13339,1960,6,6
2009,15600,1949,6,5
2009,14000,1950,6,6
2009,17500,1954,6,6
2009,1733,1980,1,6
2009,1488,1980,1,6
2009,1612,1980,1,6
2009,1300,1980,1,6
2009,13607,1986,6,6
2009,17597,1971,6,7
2009,21695,1988,6,6
2009,10690,1920,11,5
2009,8660,1900,11,5
2009,6402,1920,11,5
2009,8470,1915,11,3
2009,10200,1925,11,4
2009,3843,2007,6,8
2009,21780,1910,11,2
2009,10125,2000,14,8
2009,12822,2003,14,7
2009,12118,2004,14,7
2009,12209,2001,14,6
2009,9750,1977,14,6
2009,9360,1977,14,6
2009,10125,1977,14,5
2009,9947,1990,14,7
2009,11070,1991,14,5
2009,14375,1958,26,6
2009,215245,1965,26,7
2009,12898,2007,26,9
2009,13159,2009,26,7
2009,13438,2008,26,9
2009,14463,2008,26,9
2009,8925,2007,26,8
2009,11457,1988,26,6
2009,9839,1980,26,6
2009,14419,1987,26,7
2009,6853,2001,26,8
2009,9157,2003,26,7
2009,14601,2006,26,9
2009,12633,2007,26,9
2009,12518,1968,14,5
2009,21750,1960,14,5
2009,4500,1998,14,6
2009,4500,1999,14,6
2009,1596,1973,13,4
